threshold,precision,recall
0.16433566433566432,0.2344346167186958,0.6722615939326122
0.16468988163245885,0.23420937363118705,0.6648016909113514
0.16812227074235808,0.23432140029905885,0.6624393882879522
0.16954022988505746,0.23668936520268727,0.6439139624518214
0.17157490396927016,0.23722627737226276,0.6384433669028969
0.1760981400870598,0.23394802216701702,0.6088524182518961
0.17866250950743667,0.23960661600357622,0.5997762029093622
0.18064516129032257,0.2409771790489595,0.5960462513987318
0.18181818181818182,0.2430744021711301,0.5902026606987443
0.1828793774319066,0.2430327868852459,0.5898296655476812
0.18508474576271186,0.24374967103531764,0.5757801815243069
0.1875,0.24846728346895552,0.5542707944796718
0.18957654723127035,0.24925347906924333,0.5500435161009574
0.1910828025477707,0.24926753604871604,0.5394753201541713
0.19384057971014493,0.25026455026455025,0.5292801193584483
0.19680851063829788,0.24766886513531955,0.4061917195076464
0.19732205778717407,0.24878911355424002,0.402337436279995
0.20170454545454544,0.2571498811767598,0.39015292801193585
0.20383597776827173,0.26070919607678766,0.38667163993534753
0.2059800664451827,0.2615578947368421,0.38617431306726346
0.20718816067653276,0.25943960362207413,0.37759542459281364
0.21314741035856574,0.26426666666666665,0.36963819470346887
0.216,0.26563217335414563,0.3596916573417879
0.21839080459770116,0.26660421545667445,0.3538480666418003
0.2222222222222222,0.2611741489886532,0.3291060549546189
0.22408536585365854,0.2581735069064891,0.32301380082058934
0.2247191011235955,0.25157232704402516,0.30834265821210993
0.22827949929247374,0.24932687129779213,0.2878279249036429
0.23026926648096566,0.2505702183121538,0.2868332711674748
0.23076923076923078,0.25470740782500845,0.28086534875046626
0.23529411764705882,0.2610062893081761,0.27862737784408803
0.23809523809523808,0.2663538873994638,0.24704712172075097
0.2413793103448276,0.26985869117848815,0.24456048738033073
0.24367816091954025,0.2692785211753345,0.24269551162501554
0.2459016393442623,0.26751681614349776,0.23734924779311203
0.247517514181764,0.2750289351851852,0.23635459405694392
0.2529644268774702,0.2755790090882439,0.23374362799950268
0.25755879059350506,0.2780502303462625,0.23262464254631357
0.259483030373515,0.2776857013711014,0.22914335446972522
0.26666666666666666,0.2756838905775076,0.22553773467611588
